sents,labels
Operation Steel Curtain ( Arabic : ا ل ح ج ا ب ا ل ف و ل ا ذ ي Al Hejab Elfulathi ) was a military operation executed by coalition forces in early November 2005 to reduce the flow of foreign insurgents crossing the border and joining the Iraqi insurgency .,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-Organisation I-Organisation O B-Temporal I-Temporal I-Temporal O O O O O B-Organisation I-Organisation O O O O O O B-Nationality O O
"The hospital has facilities for MRI and CT scan , a gamma camera and lithotripsy device .",B-Location I-Location O O O O O O O O O O O O O O O
The operation was important in that it was the first large scale deployment of the New Iraqi Army .,O O O O O O O O O O O O O O B-Organisation I-Organisation I-Organisation I-Organisation O
This was my first visit to Uzbekistan and an important opportunity to deepen and strengthen bilateral relations between the UK and Uzbekistan on a number of issues important to us both .,O O B-Person O O O B-Location O O O O O O O O O O O O O O O O O O O O O O O O O
"The group was founded by Sheikh Abu Omar al - Ansari . """,B-Organisation I-Organisation O O O B-Person I-Person I-Person I-Person I-Person I-Person O O
"And hopefully , by reading , we can achieve this . "" "" """,O O O O O O O O O O O O O O
But nobody can leave now .,O O O O O O
The Members of the Security Council are encouraged by the decision of Iraqi President Fuad Masum to nominate a new Prime Minister - designate .,B-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation O O O O O O B-Person I-Person I-Person I-Person O O O O O O O O O
Iraq,O
We extend our deepest condolences to the families of the victims and hope for a speedy recovery of all those wounded .,B-Organisation O O O O O B-Organisation I-Organisation I-Organisation I-Organisation I-Organisation O O O O O O O B-Organisation I-Organisation I-Organisation O
The siege of Darayya by government and pro - Assad forces began nearly four years ago .,O O O B-Location O B-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation O O B-Temporal I-Temporal I-Temporal O
""" The stock of clothing his family has proudly sold for years is just mounds of blackness now .",O O O O O B-Organisation I-Organisation O O O O B-Temporal O O O O O O O
"“ The nation ’ s business is why we are all here , ” said Col. Travis Caughlin , 507th Maintenance Group Commander .",O B-Organisation I-Organisation O O O O O B-Organisation O O B-Location O O O B-Person I-Person I-Person O B-Person I-Person I-Person I-Person O
The incident is under investigation .,O O O O O O
Foreign Secretary Boris Johnson statement on the UN not being given access to eastern Aleppo .,B-Person I-Person I-Person I-Person O O B-Organisation I-Organisation O O O O O B-Location I-Location O
"The release said the two leaders discussed the next steps in the Mosul operation , including the need to continue the close cooperation between the Iraqi government and the Kurdistan regional government .",O O O B-Organisation I-Organisation I-Organisation O O O O O O B-Location O O O O O O O O O O O B-Organisation I-Organisation I-Organisation O B-Organisation I-Organisation I-Organisation I-Organisation O
"Foreign Office Minister , Tobias Ellwood , said :",B-Person I-Person I-Person O B-Person I-Person O O O
We agreed our first priority must be the protection of civilians and ensuring access for humanitarian aid .,B-Organisation O O O O O O O O O B-Organisation O O O O O O O
Ground - based artillery fired in counter - fire or in fire support to maneuver roles are not classified as a strike as defined by CJTF - OIR .,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"The rest of the chapter deals with the exercise of divine power . """,O O O B-DocumentReference I-DocumentReference O O O O O O O O O
They are given breakfast and work for an hourly rate of one dinar .,B-Organisation O O O O O O O O O O B-Money I-Money O
We are consulting with the Government of Iraq to ascertain the full extent of this unprovoked attack .,B-Organisation O O O B-Organisation I-Organisation I-Organisation I-Organisation O O O O O O O O O O
"While this important step forward brings us closer to starting negotiations between the Syrian parties , we recognize the difficult work ahead , and remain determined to continue toward a political settlement that brings an end the conflict .",O O O O O O B-Organisation O O O O O B-Organisation I-Organisation I-Organisation O B-Organisation O O O O O O O O O O O O O O O O O O O O O O
"Minister for the Middle East , Tobias Ellwood said :",B-Person I-Person I-Person I-Person I-Person O B-Person I-Person O O
"In one of our Skype conversations , Anas tells me that as well as aspiring teachers , doctors and dentists looking for technical or academic books , many still just read for the love of it .",O O O O O O O B-Person O B-Person O O O O B-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation O O O O O O O O O O O O O O O O O
The Defense Department has identified the American service member who was killed in Syria on Thanksgiving Day .,B-Organisation I-Organisation I-Organisation O O B-Person I-Person I-Person I-Person O O O O B-Location O B-Temporal I-Temporal O
"The mournful lament from his cello wafted through the dark warren of charred and gutted shops which now line a street once known for its bright , blinking neon signs and shops selling everything from perfume to pretty dresses to kebabs .",O O O O O O O O O O O O O O O O O O O B-Location I-Location O O O O O O O O O O O O O O O O O O O O O
But Anas says it helps the community in all sorts of ways .,O B-Person O O O O O O O O O O O
"In Syria , Coalition military forces conducted 23 strikes using attack , bomber , fighter and remotely piloted aircraft against ISIL targets .",O B-Location O B-Organisation I-Organisation I-Organisation O B-Quantity O O B-MilitaryPlatform I-MilitaryPlatform I-MilitaryPlatform I-MilitaryPlatform I-MilitaryPlatform I-MilitaryPlatform I-MilitaryPlatform I-MilitaryPlatform I-MilitaryPlatform O B-Organisation O O
"In the past 24 hours , the U.S. - led coalition ’ s four airstrikes delivered 24 munitions against ISIL targets , which include three tactical units , a command - and - control node and five supply routes in support of SDF operations to isolate Raqqa , Davis said .",O B-Temporal I-Temporal I-Temporal I-Temporal O B-Organisation I-Organisation I-Organisation I-Organisation I-Organisation O O B-Quantity O O B-Quantity B-Weapon O B-Organisation O O O O B-Quantity B-Organisation I-Organisation O B-Location I-Location I-Location I-Location I-Location I-Location I-Location O B-Quantity O O O O O B-Organisation O O O B-Location O B-Person O O
"On behalf of the men and women of U.S. Central Command , I extend my personal gratitude and our deepest condolences to his family , friends and fellow service members . """,O O O O O O O O B-Organisation I-Organisation I-Organisation O B-Person O O O O O O O O O O O O O O O B-Organisation I-Organisation O O
They ' d come to shop on a festive night just before the Muslim Eid celebration .,B-Organisation O O O O O O B-Temporal I-Temporal I-Temporal I-Temporal I-Temporal I-Temporal I-Temporal I-Temporal I-Temporal O
"The isolation of Raqqah , when complete , will liberate strategically valuable terrain surrounding Raqqah and enable the liberation of the city .",O O O B-Location O O O O O O O O B-Location I-Location I-Location O O O O O B-Location I-Location O
"They remain integral to the accomplishment of our common objective which is the ultimate defeat of Daesh in Iraq and Syria . """,B-Organisation O O O O O O B-Organisation O O O O O O O O B-Organisation O B-Location O B-Location O O
"This independent investigation has concluded that the Asad regime has used chemical weapons against the Syrian people on at least three occasions , and that Daesh has used such weapons at least once .",O O O O O O B-Organisation I-Organisation I-Organisation O O B-Weapon I-Weapon O B-Organisation I-Organisation I-Organisation O B-Quantity I-Quantity I-Quantity I-Quantity O O O B-Organisation O O B-Weapon I-Weapon B-Quantity I-Quantity I-Quantity O
"Coalition nations which have conducted strikes in Syria include Australia , Bahrain , Canada , Denmark , France , Jordan , the Netherlands , Saudi Arabia , Turkey , United Arab Emirates , the United Kingdom , and the United States .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"We must all act by continuing to cut off its finance , severing its access to oil and stemming the flow of foreign fighters , in addition to the military action we are taking against this evil ideology .",B-Organisation O O O O O O O O O O O O O O O O O O O O O B-Organisation I-Organisation O O O O O O O O O O O O O O O
"U.S. Army General Joseph Votel , commander , U.S. Central Command recently met with U.S. Air Force civilian employees and provided an overview of the CENTCOM vision , the current mission , and strategic approach .",B-Person I-Person I-Person I-Person I-Person O O O B-Organisation I-Organisation I-Organisation O O O B-Organisation I-Organisation I-Organisation I-Organisation I-Organisation O O O O O O B-Organisation O O O O O O O O O O
The jihadist group also took over a nearby military barracks during the battle . [ 4 ],B-Organisation I-Organisation I-Organisation O O O O O B-Location I-Location O O O O O O O
""" "" "" It is however hard to immediately verify all the reports we are getting , so the following examples should be treated as preliminary and not definitive , "" "" he noted . """,O O O O O O O O O O O O O B-Organisation O O O O O O O O O O O O O O O O O O B-Person O O O
"“ The CJTF - OIR commanding general , Lt. Gen. Stephen J. Townsend , made it clear during his Dec. 14th press conference that we would strike the equipment before it posed a threat to counter - ISIL operations , ” said Col. John ' J.D. ' Dorrian , the CJTF - OIR spokesperson .",O B-Person I-Person I-Person I-Person I-Person I-Person O B-Person I-Person I-Person I-Person I-Person O O O O O O B-Temporal I-Temporal O O O B-Organisation O O O O O O O O O O O O O O O O O B-Person I-Person I-Person I-Person I-Person I-Person O B-Person I-Person I-Person I-Person I-Person O
Votel explained U.S. Central Command ’ s top priorities :,B-Person O B-Organisation I-Organisation I-Organisation O O O O O
